Tissue,Transcription Factor,FUGUE Score,,,,,,,
Stomach,ZNF462,0.98154968,,,,,,,
Stomach,ZHX2,0.979605317,,,,,,,
Stomach,ZHX1,0.979534924,,,,,,,
Stomach,ZNF423,0.978909373,,,,,,,
Stomach,DRAP1,0.977495909,,,,,,,
Stomach,NRF1,0.97583425,,,,,,,
Stomach,SON,0.971860826,,,,,,,
Stomach,TEAD2,0.971185744,,,,,,,
Stomach,NR2C1,0.970584214,,,,,,,
Stomach,ZNF148,0.969955623,,,,,,,
Stomach,GTF2IRD1,0.968048215,,,,,,,
Stomach,MAX,0.966542304,,,,,,,
Stomach,LIN54,0.965733588,,,,,,,
Stomach,RELA,0.964496613,,,,,,,
Stomach,TFCP2,0.963635623,,,,,,,
Stomach,NR4A1,0.962877274,,,,,,,
Stomach,STAT3,0.961065888,,,,,,,
Stomach,ISL1,0.960960448,,,,,,,
Stomach,NR3C1,0.960192442,,,,,,,
Testis,LMX1B,0.973820865,,,,,,,
Testis,WT1,0.971181214,,,,,,,
Testis,KMT2B,0.970923245,,,,,,,
Testis,E2F6,0.960671902,,,,,,,
Testis,NFATC3,0.960623384,,,,,,,
Testis,SP1,0.949548662,,,,,,,
Testis,KDM2A,0.948100686,,,,,,,
Testis,GATA4,0.947699428,,,,,,,
Testis,ELK1,0.943125486,,,,,,,
Testis,ZSCAN25,0.940642536,,,,,,,
Testis,ZNF92,0.937843084,,,,,,,
Testis,AR,0.937253773,,,,,,,
Testis,BBX,0.935734987,,,,,,,
Testis,USF2,0.934704661,,,,,,,
Testis,ZNF189,0.932731748,,,,,,,
Testis,HMG20A,0.929548502,,,,,,,
Testis,NR5A1,0.929140687,,,,,,,
Testis,BPTF,0.925864756,,,,,,,
